


################################################################################
################################################################################
			Nova Captura
################################################################################
################################################################################


2017-10-04 14:56:52.636005
2017-10-04 14:56:52.666006
2017-10-04 14:56:52.693008
2017-10-04 14:56:52.726010
2017-10-04 14:56:52.762012
2017-10-04 14:56:52.799014
2017-10-04 14:56:52.832016
2017-10-04 14:56:52.865018
2017-10-04 14:56:52.899020
2017-10-04 14:56:52.932022
2017-10-04 14:56:52.965023
2017-10-04 14:56:52.999025
2017-10-04 14:56:53.032027
2017-10-04 14:56:53.063029
2017-10-04 14:56:53.096031
2017-10-04 14:56:53.129033
2017-10-04 14:56:53.163035
2017-10-04 14:56:53.196037
2017-10-04 14:56:53.230039
2017-10-04 14:56:53.263041
2017-10-04 14:56:53.296042
2017-10-04 14:56:53.330044
2017-10-04 14:56:53.363046
2017-10-04 14:56:53.396048
2017-10-04 14:56:53.430050
2017-10-04 14:56:53.463052
2017-10-04 14:56:53.496054
2017-10-04 14:56:53.530056
2017-10-04 14:56:53.563058
2017-10-04 14:56:53.597060
2017-10-04 14:56:53.630062
2017-10-04 14:56:53.663063
2017-10-04 14:56:53.697065
2017-10-04 14:56:53.730067
2017-10-04 14:56:53.764069
2017-10-04 14:56:53.797071
2017-10-04 14:56:53.830073
2017-10-04 14:56:53.864075
2017-10-04 14:56:53.897077
2017-10-04 14:56:53.930079
2017-10-04 14:56:53.964081
2017-10-04 14:56:53.997083
2017-10-04 14:56:54.030084
2017-10-04 14:56:54.069087
2017-10-04 14:56:54.093088
2017-10-04 14:56:54.130090
2017-10-04 14:56:54.164092
2017-10-04 14:56:54.197094
2017-10-04 14:56:54.231096
2017-10-04 14:56:54.264098
2017-10-04 14:56:54.297100
2017-10-04 14:56:54.331102
2017-10-04 14:56:54.364103
2017-10-04 14:56:54.398105
2017-10-04 14:56:54.431107
2017-10-04 14:56:54.464109
2017-10-04 14:56:54.497111
2017-10-04 14:56:54.531113
2017-10-04 14:56:54.564115
2017-10-04 14:56:54.598117
2017-10-04 14:56:54.631119
2017-10-04 14:56:54.664121
2017-10-04 14:56:54.698123
2017-10-04 14:56:54.732125
2017-10-04 14:56:54.766126
2017-10-04 14:56:54.798128
2017-10-04 14:56:54.831130
2017-10-04 14:56:54.865132
2017-10-04 14:56:54.900134
2017-10-04 14:56:54.931136
2017-10-04 14:56:54.973138
2017-10-04 14:56:54.996140
2017-10-04 14:56:55.030142
2017-10-04 14:56:55.063143
2017-10-04 14:56:55.096145
2017-10-04 14:56:55.130147
2017-10-04 14:56:55.163149
2017-10-04 14:56:55.196151
2017-10-04 14:56:55.234153
2017-10-04 14:56:55.268155
2017-10-04 14:56:55.301157
2017-10-04 14:56:55.335159
2017-10-04 14:56:55.368161
2017-10-04 14:56:55.402163
2017-10-04 14:56:55.439165
2017-10-04 14:56:55.469167
2017-10-04 14:56:55.502169
2017-10-04 14:56:55.536171
2017-10-04 14:56:55.565172
2017-10-04 14:56:55.598174
2017-10-04 14:56:55.631176
2017-10-04 14:56:55.664178
2017-10-04 14:56:55.697180
2017-10-04 14:56:55.731182
2017-10-04 14:56:55.764184
2017-10-04 14:56:55.797185
2017-10-04 14:56:55.831187
2017-10-04 14:56:55.864189
